id,title,community,years,housetype,square,floor,taxtype,totalPrice,unitPrice,followInfo
36,山水文园五期 4室4厅 2460万,山水文园五期,顶层(共7层)2013年建板楼,4室4厅,233.18平米,顶层(共7层)2013年建板楼,距离10号线十里河站796米,2460,105498,134人关注 / 共60次带看 / 一年前发布
37,空中别墅，六居室 68平米私家空中花园；2009年楼盘,九号公寓,顶层(共10层)2008年建板塔结合,6室2厅,486.86平米,顶层(共10层)2008年建板塔结合,距离14号线(东段)枣营站580米房本满两年,3600,73944,49人关注 / 共11次带看 / 一年前发布
38,"安定门外 ,四居，出行方便 复式结构",京宝花园,低楼层(共12层)1994年建板楼,4室1厅,246.65平米,低楼层(共12层)1994年建板楼,距离2号线安定门站401米房本满五年,1500,60815,91人关注 / 共66次带看 / 一年前发布
39,雪芳园  2013年新小区 中间楼层 前后无遮挡房主自荐,雪芳园,中楼层(共16层)2013年建板塔结合,4室1厅,135.87平米,中楼层(共16层)2013年建板塔结合,,950,69920,67人关注 / 共30次带看 / 一年前发布
40,别墅社区 国贸东 水郡长安 业主自住 把边户型,水郡长安,3层2006年建,联排别墅,6室2厅,3层2006年建,房本满五年,1700,59362,143人关注 / 共50次带看 / 一年前发布
41,东环18公寓 1室1厅 520万,东环18公寓,高楼层(共11层)2002年建板楼,1室1厅,65.33平米,高楼层(共11层)2002年建板楼,距离10号线双井站699米房本满五年,520,79596,142人关注 / 共152次带看 / 一年前发布
42,复式四居室  西南向  看房便利,梵谷水郡,顶层(共24层)2008年建塔楼,4室2厅,116.97平米,顶层(共24层)2008年建塔楼,房本满五年随时看房,755,64547,500人关注 / 共112次带看 / 一年前发布
43,满五唯一 2008年商品房 南北通透四居 客厅双卧朝南。,北京上舍,中楼层(共14层)2008年建板楼,4室2厅,202.45平米,中楼层(共14层)2008年建板楼,距离7号线广渠门内站410米房本满五年,2020,99778,339人关注 / 共39次带看 / 一年前发布
44,西晴公寓 临河观景 东西通透 四居  24小时安保 电梯,西晴公寓,中楼层(共21层)1998年建板塔结合,4室2厅,180.5平米,中楼层(共21层)1998年建板塔结合,距离2号线西直门站1078米房本满五年随时看房,1400,77563,44人关注 / 共40次带看 / 一年前发布
45,东南小区 2室1厅 700万,东南小区,低楼层(共12层)1988年建板塔结合,2室1厅,61.6平米,低楼层(共12层)1988年建板塔结合,距离10号线知春里站930米房本满两年,700,113637,177人关注 / 共50次带看 / 一年前发布
46,逸翠园 3室2厅 1700万,逸翠园,中楼层(共8层)2012年建板楼,3室2厅,174.62平米,中楼层(共8层)2012年建板楼,房本满两年,1700,97355,92人关注 / 共67次带看 / 一年前发布
47,弘善家园南向开间，满两年，免增值税,弘善家园,中楼层(共28层)2009年建塔楼,1室0厅,42.64平米,中楼层(共28层)2009年建塔楼,距离10号线十里河站698米房本满两年随时看房,265,62149,1401人关注 / 共305次带看 / 一年前发布
48,西三环北路86号院 1室1厅 495万,西三环北路86号院,低楼层(共7层)1996年建板楼,1室1厅,55.63平米,低楼层(共7层)1996年建板楼,距离6号线花园桥站850米,495,88981,280人关注 / 共58次带看 / 一年前发布
49,南北通透两居 楼层好 有钥匙 业主诚心出售,鼓楼西大街,中楼层(共5层)1989年建板楼,2室1厅,59.8平米,中楼层(共5层)1989年建板楼,距离2号线鼓楼大街站640米随时看房,670,112041,142人关注 / 共105次带看 / 一年前发布
50,丽水莲花通透三居 采光视野好 对花园 2梯4户 刷卡电梯,丽水莲花,中楼层(共24层)2009年建塔楼,3室2厅,152.63平米,中楼层(共24层)2009年建塔楼,距离7号线湾子站517米房本满五年,1250,81898,75人关注 / 共39次带看 / 一年前发布
51,中关村 苏州街 总价低三居 南北通透 停车方便 楼龄新,万泉河62号院,地下室(共6层)1998年建板楼,3室1厅,78.2平米,地下室(共6层)1998年建板楼,距离10号线苏州街站449米房本满两年,410,52430,55人关注 / 共10次带看 / 一年前发布
52,泰禾北京院子，北独院产品，北入户北花园,泰禾北京院子,3层2015年建,联排别墅,5室3厅,3层2015年建,,3400,110941,77人关注 / 共25次带看 / 一年前发布
53,西直门 西晴公寓 中海物业 方正电梯三居 双卫  随时看,西晴公寓,低楼层(共21层)2000年建板塔结合,3室1厅,130.9平米,低楼层(共21层)2000年建板塔结合,距离2号线西直门站1078米房本满五年,1200,91674,27人关注 / 共33次带看 / 一年前发布
54,板楼低楼层 东西通透 正规三居 精装公房房主自荐,广安门外南街,低楼层(共6层)1986年建板楼,3室1厅,72.64平米,低楼层(共6层)1986年建板楼,距离7号线达官营站1184米房本满五年随时看房,710,97743,234人关注 / 共172次带看 / 一年前发布
55,乐府江南车位 地下一层 中间位置,乐府江南,2005年建板楼,车位,30.02平米,2005年建板楼,房本满两年,39,12992,24人关注 / 共2次带看 / 一年前发布
56,东西通透两居室+满五年+工人体育场+三里屯太古里房主自荐,三里屯北,顶层(共6层)1989年建板楼,2室1厅,59.96平米,顶层(共6层)1989年建板楼,距离10号线农业展览馆站672米房本满两年,419,69880,164人关注 / 共22次带看 / 一年前发布
57,正南向高层观景， 视野开阔！采光日照时间长！房主自荐,东湖湾三期,高楼层(共28层)2012年建板楼,1室1厅,47.44平米,高楼层(共28层)2012年建板楼,距离14号线(东段)东湖渠站601米房本满两年,575,121206,238人关注 / 共37次带看 / 一年前发布
58,金港国际正规一居室，精装修，保养好房主自荐,金港国际,低楼层(共20层)2003年建板塔结合,1室1厅,56.12平米,低楼层(共20层)2003年建板塔结合,距离7号线九龙山站637米房本满五年,390,69494,48人关注 / 共25次带看 / 一年前发布
59,方华苑 东向一居室 带阳台 满五年 随时看房主自荐,方华苑,低楼层(共22层)1998年建塔楼,1室1厅,64.38平米,低楼层(共22层)1998年建塔楼,距离10号线劲松站0米房本满五年随时看房,370,57472,324人关注 / 共220次带看 / 一年前发布
60,通惠家园 四居室 南北通透 商品房！房主自荐,通惠家园,顶层(共6层)2001年建板楼,4室1厅,145.6平米,顶层(共6层)2001年建板楼,距离1号线四惠东站872米房本满五年,820,56319,132人关注 / 共17次带看 / 一年前发布
61,文慧园 3室1厅 450万,文慧园,地下室(共6层)1999年建板楼,3室1厅,94.23平米,地下室(共6层)1999年建板楼,房本满两年,450,47756,463人关注 / 共56次带看 / 一年前发布
62,天缘公寓 4室2厅 1295万,天缘公寓,低楼层(共28层)1999年建塔楼,4室2厅,187.16平米,低楼层(共28层)1999年建塔楼,,1295,69193,192人关注 / 共43次带看 / 一年前发布
63,银枫家园 顶层复式大三居 满五年 精装修房主自荐,银枫家园,高楼层(共9层)2001年建板楼,3室2厅,178.74平米,高楼层(共9层)2001年建板楼,房本满五年,1100,61542,311人关注 / 共151次带看 / 一年前发布
