109,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,10楼,NaN,1606
110,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约13㎡,8楼,NaN,1776
111,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,8楼,独立阳台,1906
112,张江路,申城佳苑三期B块,3室1厅,"距3号线,4号线,9号线宜山路站350米",约10㎡,8楼,NaN,1606
113,张江路,申城佳苑三期B块,4室1厅,NaN,约17㎡,8楼,独立阳台,1906
114,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约19㎡,8楼,独立卫生间独立淋浴,2306
115,张江路,申城佳苑三期B块,4室1厅,NaN,约9㎡,8楼,NaN,1506
116,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约10㎡,8楼,NaN,1576
117,松江新城,江中公寓,4室1厅,NaN,约17㎡,4楼,独立卫生间独立淋浴,1090
118,蓝村路,锦南花苑,4室1厅,距13号线张江路站1300米,约10㎡,16楼,NaN,2676
119,张江路,申城佳苑三期B块,4室1厅,NaN,约17㎡,5楼,独立阳台,1906
120,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约10㎡,5楼,NaN,1576
121,巨峰路,双桥小区,3室1厅,NaN,约20㎡,6楼,独立阳台,1630
122,世纪公园,海桐苑,4室2厅,"距6号线,12号线巨峰路站850米",约16㎡,6楼,NaN,3046
123,世纪公园,花木苑（楼梯）,4室1厅,NaN,约20㎡,6楼,NaN,1960
124,龙阳路,龙昌苑,3室1厅,距2号线世纪公园站500米,约18㎡,1楼,NaN,2646
125,殷高西路,三花现代城,4室1厅,NaN,约12㎡,8楼,NaN,1500
126,龙柏新村,龙柏西郊公寓,3室1厅,距2号线世纪公园站650米,约13㎡,3楼,独立阳台,1830
127,张江路,申城佳苑三期B块,4室1厅,NaN,约17㎡,15楼,独立阳台,1906
128,张江路,申城佳苑三期B块,4室1厅,"距2号线,7号线,16号线龙阳路站1200米",约9㎡,15楼,NaN,1506
